Founder,Investor,Match Score
Safe Superintelligence,Dheeraj Sidana,95
Safe Superintelligence,2|Twelve,90
Safe Superintelligence,Addendum Capital,90
Safe Superintelligence,Akhilesh Chandra,90
Safe Superintelligence,Aloniq,90
Safe Superintelligence,Audacious Ventures,90
Safe Superintelligence,Aurelia Ventures,90
Safe Superintelligence,Cardumen Capital,90
Safe Superintelligence,Core91 VC,90
Safe Superintelligence,Coreteq Ventures,90
Safe Superintelligence,CP Ventures,90
Safe Superintelligence,Crane Venture Partners,90
Safe Superintelligence,Differential Ventures,90
Safe Superintelligence,Dig Ventures,90
Safe Superintelligence,Elron,90
Safe Superintelligence,Epic VC,90
Safe Superintelligence,Episode 1,90
Safe Superintelligence,Far Out Ventures,90
Safe Superintelligence,Frontier Ventures,90
Safe Superintelligence,Galileo Ventures,90
Safe Superintelligence,Golden Ventures,90
Safe Superintelligence,Great Stuff Ventures,90
Safe Superintelligence,Infinium Venture Studio,90
Safe Superintelligence,Las Olas Venture Capital,90
Safe Superintelligence,Living On The Edge,90
Safe Superintelligence,Lumen Ventures,90
Safe Superintelligence,Make Studios,90
Safe Superintelligence,Maverick Ventures (Israel),90
Safe Superintelligence,N/ABLE Capital,90
Safe Superintelligence,No Brand,90
Safe Superintelligence,Pentech,90
Safe Superintelligence,Polymatter Invest,90
Safe Superintelligence,PSV Tech01 (PreSeed Ventures),90
Safe Superintelligence,Random Forest VC,90
Safe Superintelligence,Recursive Ventures,90
Safe Superintelligence,Reflexion Capital,90
Safe Superintelligence,Right Side Capital Management,90
Safe Superintelligence,SaaStr Fund,90
Safe Superintelligence,Sachin Sutariya,90
Safe Superintelligence,Schenker Ventures,90
Safe Superintelligence,Seed4Soft,90
Safe Superintelligence,SQ Capital,90
Safe Superintelligence,Takara Capital,90
Safe Superintelligence,Tiburon,90
Safe Superintelligence,Vine Ventures,90
Safe Superintelligence,Alex Bass,90
Safe Superintelligence,Andrew McLoughlin,90
Safe Superintelligence,"Ankur Capital
",90
Safe Superintelligence,Ann Miura-Ko,90
Safe Superintelligence,BFm Fund,90
Safe Superintelligence,CandyVC,90
Safe Superintelligence,Capital Midwest,90
Safe Superintelligence,"David Evans
",90
Safe Superintelligence,Duncan Jennings,90
Safe Superintelligence,"Garry Tan
",90
Safe Superintelligence,Jefferies,90
Safe Superintelligence,Josh Kopelman,90
Safe Superintelligence,"Nexus VP
",90
Safe Superintelligence,"Pravega Ventures
",90
Safe Superintelligence,Punch Capital,90
Safe Superintelligence,Realist Ventures,90
Safe Superintelligence,Sachin Sutariya,90
Safe Superintelligence,"Sandeep Bhadra
",90
Safe Superintelligence,"Seth Bannon
",90
Safe Superintelligence,Strange Ventures,90
Safe Superintelligence,Sway Ventures,90
